place_id,restaurant_name,locality,address,lat,lon,rating,review_count,price_range,business_tags,opening_hours,business_status,price_range_missing,business_type,cuisine_type
ChIJywEmFEfBwjsRntDw8o4jkCc,BOX8 - India's Largest Desi Meals Brand,Viman Nagar,"Unit No. 18 and 21, First Floor, KONARK INDUSTRIAL ESATE, Plot No.11, CTS No.86 Viman Nagar, Rajiv Nagar South, Mhada Colony, Lohegaon, Pune, Maharashtra 411014, India",18.5700845,73.9155316,3.6,92.0,2.0,restaurant,Monday: 11:00 AM – 2:00 AM | Tuesday: 11:00 AM – 2:00 AM | Wednesday: 11:00 AM – 2:00 AM | Thursday: 11:00 AM – 2:00 AM | Friday: 11:00 AM – 2:00 AM | Saturday: 11:00 AM – 2:00 AM | Sunday: 11:00 AM – 2:00 AM,OPERATIONAL,False,Restaurant,Unknown
ChIJKfiqakfBwjsRDTlBHkvYiNs,Venky's Xprs Viman Nagar,Viman Nagar,"Datta Mandir Chowk, S-199, Viman Nagar Rd, Konark Nagar, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.565357,73.91375099999999,4.1,529.0,2.0,restaurant,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,False,Restaurant,Unknown
ChIJi4OSZTjBwjsRnoqOrsPc3CA,Night Food Express,Viman Nagar,"HW86+QHW, Konark Nagar, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5669774,73.911442,4.0,8.0,Unknown,meal_takeaway,,CLOSED_TEMPORARILY,True,Takeaway,Unknown
ChIJp1uycUbBwjsReaqk1Mi997A,Pot Biryani,Viman Nagar,"Shop No. 10 Riddhi Enclave, Ground Floor, Near Ganpati Chowk, Viman Nagar, Pune, Maharashtra 411014, India",18.5677845,73.91745259999999,3.4,126.0,Unknown,restaurant,,CLOSED_TEMPORARILY,True,Restaurant,Biryani
ChIJrUIh6EbBwjsRZcEYPI-tCGo,Burger Singh,Viman Nagar,"Shop No 10, Lunkad Dreamland, near Khalsa Dairy, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5653678,73.9160972,3.8,502.0,2.0,meal_delivery,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 12:00 AM,OPERATIONAL,False,Delivery,Fast Food
ChIJo5y7OEfBwjsRlXUGvPFKg-Q,Chang's,Viman Nagar,"King Sport Home 7, Datta Mandir Chowk, Viman Nagar, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014, India",18.5647496,73.9139651,4.1,4616.0,2.0,restaurant,Monday: 12:00 – 11:30 PM | Tuesday: 12:00 – 11:30 PM | Wednesday: 12:00 – 11:30 PM | Thursday: 12:00 – 11:30 PM | Friday: 12:00 – 11:30 PM | Saturday: 12:00 – 11:30 PM | Sunday: 12:00 – 11:30 PM,OPERATIONAL,False,Restaurant,Unknown
ChIJNaVcZ0fBwjsREPGqen-_Pp8,The Belgian Waffle Co.,Viman Nagar,"Shop No. 1, Konark Arcade, near Dutta Mandir Chowk, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014, India",18.5649677,73.91290599999999,4.3,1057.0,2.0,bakery,Monday: 10:00 AM – 11:30 PM | Tuesday: 10:00 AM – 11:30 PM | Wednesday: 10:00 AM – 11:30 PM | Thursday: 10:00 AM – 11:30 PM | Friday: 10:00 AM – 11:30 PM | Saturday: 10:00 AM – 11:30 PM | Sunday: 10:00 AM – 11:30 PM,OPERATIONAL,False,Bakery,Unknown
ChIJGbMHSEfBwjsRRt94QIfjqcI,Copper Chocs (Viman Nagar),Viman Nagar,"4, Nyati Millenium, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014, India",18.564341,73.913899,4.1,84.0,2.0,bakery,Monday: 9:30 AM – 9:00 PM | Tuesday: 9:30 AM – 9:00 PM | Wednesday: 9:30 AM – 9:00 PM | Thursday: 9:30 AM – 9:00 PM | Friday: 9:30 AM – 9:00 PM | Saturday: 9:30 AM – 9:00 PM | Sunday: 9:30 AM – 9:00 PM,OPERATIONAL,False,Bakery,Unknown
ChIJQdS2NkfBwjsRKxY2vKMY2jM,Upsouth Viman Nagar,Viman Nagar,"G Floor, Konark Industrial Estate, Shop No.1, Kashmiri Sounf Rd, next to Rosary School, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5640719,73.91423300000001,3.9,8187.0,2.0,cafe,Monday: 6:00 AM – 11:00 PM | Tuesday: 6:00 AM – 11:00 PM | Wednesday: 6:00 AM – 11:00 PM | Thursday: 6:00 AM – 11:00 PM | Friday: 6:00 AM – 11:00 PM | Saturday: 6:00 AM – 11:00 PM | Sunday: 6:00 AM – 11:00 PM,OPERATIONAL,False,Cafe,Unknown
ChIJPVB35B7BwjsRsq2T0se6-CU,The Lounge - Panchshil It Park,Viman Nagar,"Block B, Unit B, Tech Park, Sainik Nagar, Clover Park, Yerawada, Pune, Maharashtra 411014, India",18.5660985,73.91793299999999,4.0,147.0,2.0,cafe,,CLOSED_TEMPORARILY,False,Cafe,Unknown
ChIJxdVQwTfBwjsRjvGRjMFHBvc,Reddy's Tandoori Restaurant,Viman Nagar,"West Ave, near Konark Campus, Rajiv Nagar North, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014, India",18.5709582,73.9115298,4.2,4097.0,2.0,restaurant,"Monday: 12:00 – 3:15 PM, 7:00 – 11:00 PM | Tuesday: 12:00 – 3:15 PM, 7:00 – 11:00 PM | Wednesday: 12:00 – 3:15 PM, 7:00 – 11:00 PM | Thursday: 12:00 – 3:15 PM, 7:00 – 11:00 PM | Friday: 12:00 – 3:15 PM, 7:00 – 11:00 PM | Saturday: 12:00 – 3:15 PM, 7:00 – 11:00 PM | Sunday: 12:00 – 3:15 PM, 7:00 – 11:00 PM",OPERATIONAL,False,Restaurant,Unknown
ChIJkalsE0HBwjsRny41G70uqgE,Wow! Momo,Viman Nagar,"2nd Flr, Food Court Phoenix Mkt City Mall, No S19, Pune Nagar Rd, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5622489,73.9173867,4.0,516.0,Unknown,meal_delivery,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,True,Delivery,Unknown
ChIJWxaMrJy_wjsRD2zFmVg-Dnc,Café Coffee Day,Viman Nagar,"HW76+XCM Persian Cyber Cafe, near Corporation Bank, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014, India",18.5649698,73.9110506,3.9,1334.0,2.0,bakery,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,OPERATIONAL,False,Bakery,Cafe
ChIJbQ98a0bBwjsR3fvscwiNAyU,Apsara Ice Creams,Viman Nagar,"Shop No. 3 Prasun Plaza Plot No. 5 Near Ganpati Mandir Vadgaon Sheri, Pune Nagar Rd, and Sangamwadi, Viman Nagar, Pune, Maharashtra 411014, India",18.5667719,73.9186938,4.4,1824.0,2.0,restaurant,Monday: 12:00 – 11:55 PM | Tuesday: 12:00 – 11:55 PM | Wednesday: 12:00 – 11:55 PM | Thursday: 12:00 – 11:55 PM | Friday: 12:00 – 11:55 PM | Saturday: 12:00 – 11:55 PM | Sunday: 12:00 – 11:55 PM,OPERATIONAL,False,Restaurant,Unknown
ChIJ1QzXmEbBwjsRuzyD-A13DFU,Falahaar,Viman Nagar,"10, Royal Tower, Viman Nagar Rd, Sainik Nagar, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5654561,73.9180732,4.3,4159.0,2.0,restaurant,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,OPERATIONAL,False,Restaurant,Unknown
ChIJicln8TjBwjsRntgYouOivS0,China Grill,Viman Nagar,"Shop no.7, Prasun Plaza, near Ganpati Mandir Chowk, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5667107,73.9187597,4.0,1825.0,3.0,meal_delivery,"Monday: 11:30 AM – 3:30 PM, 6:30 – 11:30 PM | Tuesday: 11:30 AM – 3:30 PM, 6:30 – 11:30 PM | Wednesday: 11:30 AM – 3:30 PM, 6:30 – 11:30 PM | Thursday: 11:30 AM – 3:30 PM, 6:30 – 11:30 PM | Friday: 11:30 AM – 3:30 PM, 6:30 – 11:30 PM | Saturday: 11:30 AM – 3:30 PM, 6:30 – 11:30 PM | Sunday: 11:30 AM – 3:30 PM, 6:30 – 11:30 PM",OPERATIONAL,False,Delivery,Unknown
ChIJW0h4FUHBwjsRvD1OpLH1XWY,Burger King,Viman Nagar,"2nd Floor, Phoenix Market City Mall, S25, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5632017,73.9157018,4.1,4955.0,2.0,meal_takeaway,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,False,Takeaway,Fast Food
ChIJdWg9LjfBwjsRs5kleAs_SZA,New hotel Taj,Viman Nagar,"Lane No. 4, Sanjay park, viman darshan, Pune, Maharashtra 411014, India",18.5700525,73.91906879999999,3.4,83.0,Unknown,restaurant,Monday: 11:00 AM – 3:00 AM | Tuesday: 11:00 AM – 3:00 AM | Wednesday: 11:00 AM – 3:00 AM | Thursday: 11:00 AM – 3:00 AM | Friday: 11:00 AM – 3:00 AM | Saturday: 11:00 AM – 3:00 AM | Sunday: 11:00 AM – 3:00 AM,OPERATIONAL,True,Restaurant,Unknown
ChIJ1fVku0nBwjsRQSmZ6MV6d00,Sorted Nights,Viman Nagar,"P-43, Rajiv Nagar North, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014, India",18.5731039,73.91435919999999,4.2,37.0,Unknown,restaurant,Monday: 7:00 PM – 5:00 AM | Tuesday: 7:00 PM – 5:00 AM | Wednesday: 7:00 PM – 5:00 AM | Thursday: 7:00 PM – 5:00 AM | Friday: 7:00 PM – 5:00 AM | Saturday: 7:00 PM – 5:00 AM | Sunday: 7:00 PM – 12:00 AM,OPERATIONAL,True,Restaurant,Unknown
ChIJHyiMbkHBwjsRGDsrMjQBgVc,KFC,Viman Nagar,"Pune Nagar Rd, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5627732,73.91633230000001,4.3,5002.0,2.0,meal_takeaway,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,False,Takeaway,Unknown
ChIJKyfncUHBwjsRu5ncmexyKeM,"Khandani Rajdhani, Phoenix MarketCity, Viman Nagar",Viman Nagar,"Phoenix Road, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5628591,73.91699109999999,4.1,3632.0,2.0,restaurant,"Monday: 12:00 – 3:30 PM, 7:00 – 11:00 PM | Tuesday: 12:00 – 3:30 PM, 7:00 – 11:00 PM | Wednesday: 12:00 – 3:30 PM, 7:00 – 11:00 PM | Thursday: 12:00 – 3:30 PM, 7:00 – 11:00 PM | Friday: 12:00 – 3:30 PM, 7:00 – 11:00 PM | Saturday: 12:00 – 3:30 PM, 7:00 – 11:00 PM | Sunday: 12:00 – 3:30 PM, 7:00 – 11:00 PM",OPERATIONAL,False,Restaurant,Unknown
ChIJ36ZZdkDBwjsR1OFGJmOu4zA,"Domino's Pizza | Viman Nagar, Pune",Viman Nagar,"Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5627339,73.9172234,4.0,2667.0,2.0,meal_delivery,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,False,Delivery,Italian
ChIJw-y8a0HBwjsRHevGyiHPZM8,"Copper Chimney, Viman Nagar",Viman Nagar,"3rd Floor, Phoenix Marketcity, Viman Nagar Rd, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5625893,73.9169635,4.7,10190.0,3.0,restaurant,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 – 11:00 PM | Saturday: 12:00 – 11:00 PM | Sunday: 12:00 – 11:00 PM,OPERATIONAL,False,Restaurant,Unknown
ChIJ1yjJfz_BwjsRKeTUFQOv5Do,Eagle Boys Pizza,Viman Nagar,"104, Viman Nagar Rd, Sakore Nagar, Kalyani Nagar, Pune, Maharashtra 411014, India",18.561939,73.9141424,3.9,9.0,Unknown,restaurant,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,True,Restaurant,Italian
ChIJ0b2rW0LBwjsRiE4gjKcL9TI,Subway Phoenix Market City,Viman Nagar,"Shop No. 14, Food Court - 2nd Floor, Phoenix Market City, Viman Nagar, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5624334,73.917024,3.6,474.0,2.0,meal_takeaway,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,OPERATIONAL,False,Takeaway,Unknown
ChIJk7MEcEHBwjsRSZEKGegoVkQ,"Chai Point - Phoenix Market City, Pune",Viman Nagar,"Shop No. 19-20, Lower Ground Floor, Phoenix Marketcity, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India",18.5622147,73.9164756,4.4,465.0,2.0,bakery,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM,OPERATIONAL,False,Bakery,Unknown
